timestamp,cpu_util_experiment-baseline-with-latency-node-instance-2,io_read_experiment-baseline-with-latency-node-instance-2,io_write_experiment-baseline-with-latency-node-instance-2,iops_read_experiment-baseline-with-latency-node-instance-2,iops_write_experiment-baseline-with-latency-node-instance-2,cpu_util_experiment-baseline-with-latency-node-instance-3,io_read_experiment-baseline-with-latency-node-instance-3,io_write_experiment-baseline-with-latency-node-instance-3,iops_read_experiment-baseline-with-latency-node-instance-3,iops_write_experiment-baseline-with-latency-node-instance-3,cpu_util_experiment-baseline-with-latency-node-instance-1,io_read_experiment-baseline-with-latency-node-instance-1,io_write_experiment-baseline-with-latency-node-instance-1,iops_read_experiment-baseline-with-latency-node-instance-1,iops_write_experiment-baseline-with-latency-node-instance-1,cpu_util_experiment-baseline-with-latency-client-instance,io_read_experiment-baseline-with-latency-client-instance,io_write_experiment-baseline-with-latency-client-instance,iops_read_experiment-baseline-with-latency-client-instance,iops_write_experiment-baseline-with-latency-client-instance,cpu_util_experiment-baseline-with-latency-central-server-instance,io_read_experiment-baseline-with-latency-central-server-instance,io_write_experiment-baseline-with-latency-central-server-instance,iops_read_experiment-baseline-with-latency-central-server-instance,iops_write_experiment-baseline-with-latency-central-server-instance
2021-07-20 21:54:00+00:00,0.060052817316806305,13432,784098,1,90,0.05702546836385617,5642,729550,0,74,0.06256677384054399,0,830076,0,88,0.0063591267325312124,0,164232,0,32,0.045628277941169415,0,530987,0,46
2021-07-20 21:53:00+00:00,0.05926045950273106,69997,593253,7,49,0.058624912146091404,37490,882690,4,104,0.05874907152909495,0,618983,0,54,0.00650228201849264,0,71758,0,14,0.04504327098546193,0,543280,0,47
2021-07-20 21:52:00+00:00,0.058579787544689545,43547,796534,3,89,0.057173235817948864,34692,716474,6,70,0.05836789946120764,29336,974934,2,128,0.005996215543421593,0,0,0,0,0.04565008265171854,0,536574,0,47
2021-07-20 21:51:00+00:00,0.057497820969307625,0,828369,0,94,0.057539953455775596,0,737272,0,77,0.059875087033532275,130408,826061,11,95,0.00561876878282419,0,22697,0,4,0.04563848844625085,0,523549,0,40
2021-07-20 21:50:00+00:00,0.05917634538982004,11940,575417,1,50,0.057918656669675286,17552,731014,0,72,0.06013662449207875,0,739617,0,75,0.019817084405644888,17023,1025747,1,120,0.04699160543272995,0,535824,0,46
2021-07-20 21:49:00+00:00,0.05823142706495569,64043,773297,7,89,0.05802231608594136,111554,696949,4,68,0.059041550349382035,8274,802230,1,87,0.3475665496813912,7553,640779,1,68,0.04948467317577846,0,554452,0,47
2021-07-20 21:48:00+00:00,0.06011170919658563,46897,619017,2,56,0.05594855146002923,79790,708570,5,72,0.06376980171401668,36782,843112,5,97,0.0970203215261615,56743,949669,5,143,0.04940447421846272,0,562634,0,48
2021-07-20 21:47:00+00:00,0.058939968960335896,29102,892836,2,111,0.05651215288500329,0,753653,0,72,0.05984838444535019,0,717975,0,74,0.09350119868854515,28014,905986,3,132,0.049430033332538884,0,556697,0,50
2021-07-20 21:46:00+00:00,0.06000558425516781,130642,709357,8,74,0.05636116158746537,87130,754292,3,75,0.0627222100917019,0,801556,0,87,0.09235010748353527,1259,722455,0,106,0.04828603447933233,0,539919,0,42
2021-07-20 21:45:00+00:00,0.059609825300251856,0,680617,0,68,0.056285676052811574,492870,751495,14,73,0.0622153600507076,4513,1032196,1,131,0.09683449345588711,0,739818,0,111,0.04671477361018124,0,539936,0,43
2021-07-20 21:44:00+00:00,0.06020081421396384,0,613432,0,56,0.056131329919376555,64618,720563,2,72,0.06352017266883318,26833,866844,3,97,0.09699308510168692,0,1068584,0,166,0.046876047520105615,0,533213,0,45
2021-07-20 21:43:00+00:00,0.06542180402247054,2239,1200983,0,149,0.05579443605952387,56921,744502,2,77,0.059991087533534916,30094,853389,4,105,0.16126307519718114,0,836650,0,129,0.04754427705714666,16752,551103,1,49
2021-07-20 21:42:00+00:00,0.09066096213916333,11541,2008349,1,253,0.05587921127612816,161669,751206,7,78,0.0592274288167592,0,803735,0,92,0.10842500853266775,0,725650,0,114,0.04882501990222702,27557,630387,3,63
2021-07-20 21:41:00+00:00,0.0921923242613829,6700,718603,2,72,0.05723114451534409,107544,704133,1,67,0.06088484579269722,12788,735615,0,73,0.09236379331481002,11348,689992,2,103,0.0500048175681087,8939,660973,2,64
2021-07-20 21:40:00+00:00,0.06094529510813136,0,636077,0,59,0.05595222363419575,0,759396,0,80,0.05999771427634689,56844,814684,2,92,0.09223437477294519,5036,816758,1,117,0.0489478727580348,0,539181,0,49
2021-07-20 21:39:00+00:00,0.060982661192281754,2985,758406,0,87,0.056242096888797256,0,705426,0,73,0.06040816937961324,41374,797636,2,79,0.09352526110934296,0,751396,0,111,0.04799854504193253,0,580872,0,52
2021-07-20 21:38:00+00:00,0.06092749349878564,13399,608585,1,51,0.05622789756042579,0,754513,0,80,0.06156255641830673,183906,774896,7,81,0.09296156075224951,0,678035,0,101,0.048318013757134765,0,585001,0,49
